院校,专业,专业详情,年份,最低分,位次,科目,批次
清华大学,临床医学类,（协和）（含临床医学专业）,2020,704,55,理科,本科批
清华大学,电子信息类,（含电子信息科学与技术、微电子科学与工程、生物医学工程专业）,2020,704,55,理科,本科批
清华大学,理科试验班类,（经济、金融与管理）（含金融学类、信息管理与信息系统专业）,2020,705,44,理科,本科批
清华大学,计算机类,（含计算机科学与技术、软件工程、计算机科学与技术（计算机科学实验班）、计算机科学与技术（智班）专业）,2020,710,1,理科,本科批
清华大学,理科试验班类,（新雅书院）（含物理学（等各专业）专业）,2020,714,1,理科,本科批
清华大学,建筑类,（含建筑学、城乡规划、风景园林专业）,2020,708,32,理科,本科批
清华大学,自动化类,（含自动化、信息管理与信息系统专业）,2020,704,55,理科,本科批
清华大学,工科试验班类,（能源与电气）（含建筑环境与能源应用工程、电气工程及其自动化、电气工程及其自动化（能源互联网国际班）、能源与动力工程专业）,2020,704,55,理科,本科批
清华大学,工科试验班类,（环境、化工与新材料）（含环境工程、环境工程（全球环境国际班）、化学工程与工业生物工程、高分子材料与工程、材料科学与工程专业）,2020,709,1,理科,本科批
清华大学,理科试验班类,（数理）（含数学与应用数学、物理学、数理基础科学、工程物理、工程物理（能源实验班）专业）,2020,705,44,理科,本科批
清华大学,文科试验班类,（经济、金融与管理）（含经济与金融（国际班）专业）,2020,679,1,文科,本科批
清华大学,理科试验班类,（化生）（含化学、化学生物学、生物科学、药学、化学工程与工业生物工程、高分子材料与工程专业）,2020,715,1,理科,本科批
清华大学,临床医学类,（医学实验班）（含临床医学专业）,2020,709,1,理科,本科批
清华大学,工科试验班类,（机械、航空与动力）（含机械工程、机械工程（实验班）、测控技术与仪器、能源与动力工程、车辆工程、车辆工程（电子信息方向）、车辆工程（车身方向）、工业工程、航空航天类、工程力学（钱学森力学班）专业）,2020,704,55,理科,本科批
清华大学,土木、水利与海洋工程,,2020,700,108,理科,本科提前批
清华大学,电子信息类,,2020,699,136,理科,本科提前批
清华大学,工科试验班类,（环境、化工与新材料）,2020,691,382,理科,本科提前批
清华大学,建筑类,,2020,695,226,理科,本科提前批
清华大学,理科试验班类,（化生）,2020,690,418,理科,本科提前批
清华大学,工科试验班类,（机械、航空与动力）,2020,692,339,理科,本科提前批
清华大学,法学,（含国际班）,2020,644,316,文科,本科提前批
清华大学,自动化类,,2020,698,150,理科,本科提前批
清华大学,文科试验班类,（人文与社会）,2020,659,75,文科,本科提前批
清华大学,工科试验班类,（能源与电气）,2020,699,136,理科,本科提前批
清华大学,理科试验班类,（数理）,2020,697,170,理科,本科提前批
清华大学,自动化,,2016,,,理科,本科一批
清华大学,环境工程,,2016,,,理科,本科一批
清华大学,材料科学与工程,,2016,,,理科,本科一批
清华大学,计算机科学与技术,,2016,,,理科,本科一批
清华大学,化学工程与工业生物工程,,2016,,,理科,本科一批
清华大学,土木工程,,2016,,,理科,本科一批
清华大学,经济与金融,（国际班）,2016,,,理科,本科一批
清华大学,电子信息类,,2016,,,理科,本科一批
清华大学,机械类,（含机械工程实验班）,2016,,,理科,本科一批
清华大学,经济与金融,（国际班）,2016,,,文科,本科一批
清华大学,理科试验班类,（新雅书院）,2016,,,理科,本科一批
清华大学,工商管理类,（信息管理与信息系统）,2016,,,理科,本科一批
清华大学,核工程与核技术,（定向中核）,2016,,,理科,本科一批
清华大学,社会科学试验班,,2016,,,文科,本科一批
清华大学,建筑学,（含城乡规划）,2016,,,理科,本科一批
清华大学,医学试验班,,2016,,,理科,本科一批
清华大学,工科试验班类,,2017,692,54,理科,本科一批
清华大学,建筑类,,2017,699,22,理科,本科一批
清华大学,文科试验班类,,2017,669,1,文科,本科一批
清华大学,理科试验班类,,2017,693,48,理科,本科一批
清华大学,计算机类,,2017,701,14,理科,本科一批
清华大学,土木类,,2017,692,54,理科,本科一批
清华大学,电子信息类,,2017,693,48,理科,本科一批
清华大学,工科试验班类,,2018,706,51,理科,本科一批
清华大学,电子信息类,,2018,705,57,理科,本科一批
清华大学,文科试验班类,,2018,698,1,文科,本科一批
清华大学,建筑类,,2018,712,1,理科,本科一批
清华大学,计算机类,,2018,706,51,理科,本科一批
清华大学,土木类,,2018,711,20,理科,本科一批
清华大学,理科试验班类,,2018,714,1,理科,本科一批
清华大学,理科试验班类,（经济、金融与管理）（含经济与金融（国际班）、会计学、信息管理与信息系统专业）,2019,697,43,理科,本科一批
清华大学,土木类,（含土木工程、工程管理、交通工程、水利科学与工程专业）,2019,693,74,理科,本科一批
清华大学,工科试验班类,（机械、航空与动力）（含机械工程、机械工程（实验班）、测控技术与仪器、能源与动力工程、能源与动力工程（烽火班）、车辆工程、车辆工程（车身方向）、工程力学（钱学森力学班）、航空航天类专业）,2019,693,74,理科,本科一批
清华大学,电子信息类,（含电子信息科学与技术、微电子科学与工程、生物医学工程专业）,2019,696,51,理科,本科一批
清华大学,建筑类,（含建筑学、城乡规划、风景园林专业）,2019,692,78,理科,本科一批
清华大学,临床医学类,（医学实验班）（含临床医学专业）,2019,713,1,理科,本科一批
清华大学,临床医学类,（协和）（含临床医学专业）,2019,694,61,理科,本科一批
清华大学,文科试验班类,（经济、金融与管理）（含经济与金融（国际班）、会计学、信息管理与信息系统专业）,2019,684,1,文科,本科一批
清华大学,工科试验班类,（能源与电气）（含电气工程及其自动化、电气工程及其自动化（能源互联网国际班）、能源与动力工程、能源与动力工程（烽火班）、航空航天类、建筑环境与能源应用工程专业）,2019,694,61,理科,本科一批
清华大学,理科试验班类,（新雅书院）（含物理学（等各专业）专业）,2019,697,43,理科,本科一批
清华大学,理科试验班类,（人文与社会）（含汉语言文学、历史学、哲学、英语、英语（世界文学与文化实验班）、日语、社会学、经济学、国际政治、国际政治（国际事务与全球治理）、心理学、新闻学（国际新闻实验班）、新闻学（融媒体新闻实验班）专业）,2019,693,74,理科,本科一批
清华大学,理科试验班类,（数理）（含数学与应用数学、物理学、数理基础科学、工程物理、工程物理（能源实验班）、材料科学与工程、航空航天类专业）,2019,693,74,理科,本科一批
北京大学,法学,,2020,671,1,文科,本科批
北京大学,考古学,,2020,668,1,文科,本科批
北京大学,工商管理类,（含金融学、金融学（金融经济学）、会计学、市场营销专业）,2020,689,1,文科,本科批
北京大学,中国语言文学类,（含汉语言文学、汉语言、古典文献学、应用语言学专业）,2020,672,1,文科,本科批
北京大学,新闻传播学类,（含新闻学、广播电视学、广告学、编辑出版学专业）,2020,668,1,文科,本科批
北京大学,生物科学类,（含生物科学、生物技术专业）,2020,703,63,理科,本科批
北京大学,历史学类,（含历史学（中国史）、世界史、外国语言与外国历史专业）,2020,668,1,文科,本科批
北京大学,文科试验班类,（全校教学资源范围内自由选择专业）（含中国语言文学类、考古学、历史学类、哲学类、社会学类、国际政治、意管理与信意系统、新闻传播学类、经济法学、学类、工商管理类、公共管理类专业）,2020,677,1,文科,本科批
北京大学,社会学类,（含社会学、社会工作专业）,2020,672,1,文科,本科批
北京大学,数学类,（含数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融）专业）,2020,706,40,理科,本科批
北京大学,计算机类,（含计算机科学与技术、智能科学与技术专业）,2020,704,55,理科,本科批
北京大学,工科试验班类,（含理论与应用力学、工程力学、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程专业）,2020,703,63,理科,本科批
北京大学,国际政治,（国政、外交学、国际政经）,2020,668,1,文科,本科批
北京大学,工商管理类,（含金融学、金融学（金融经济学）、会计学、市场营销专业）,2020,709,1,理科,本科批
北京大学,理科试验班类,（含数学类、物理学类、天文学、地球物理学类、心理学类、计算机类、电子信息类专业）,2020,706,40,理科,本科批
北京大学,经济学类,（含经济学、金融学、国际经济与贸易、保险学（风险管理与保险）、财政学、资源与环境经济学专业）,2020,678,1,文科,本科批
北京大学,哲学类,（含哲学、宗教学、哲学（科技哲学与逻辑学方向）专业）,2020,669,1,文科,本科批
北京大学,环境科学,（环境、生态、地理与资源环境）,2020,707,34,理科,本科批
北京大学,信息管理与信息系统,,2020,668,1,文科,本科批
北京大学,物理学类,（含物理学、大气科学（大气与海洋）专业）,2020,703,63,理科,本科批
北京大学,西班牙语,,2016,,,文科,本科提前批
北京大学,阿拉伯语,,2016,,,文科,本科提前批
北京大学,护理学,,2016,,,理科,本科提前批
北京大学,俄语,,2016,,,文科,本科提前批
北京大学,法学,,2020,660,65,文科,本科提前批
北京大学,西班牙语,,2020,663,44,文科,本科提前批
北京大学,蒙古语,,2020,665,35,文科,本科提前批
北京大学,国际政治,（国政、外交学、国际政经）,2020,653,141,文科,本科提前批
北京大学,朝鲜语,,2020,666,33,文科,本科提前批
北京大学,心理学类,,2020,688,537,理科,本科提前批
北京大学,环境科学,（环境、生态、地理与资源环境）,2020,688,537,理科,本科提前批
北京大学,德语,,2020,667,30,文科,本科提前批
北京大学,俄语,,2020,661,59,文科,本科提前批
北京大学,工科试验班类,,2020,689,466,理科,本科提前批
北京大学,信息管理与信息系统,,2020,650,185,文科,本科提前批
北京大学,社会学类,,2020,651,166,文科,本科提前批
北京大学,地球物理学类,,2020,689,466,理科,本科提前批
北京大学,社会学,,2016,,,文科,本科一批
北京大学,法学,,2016,,,文科,本科一批
北京大学,口腔医学,,2016,,,理科,本科一批
北京大学,临床医学,,2016,,,理科,本科一批
北京大学,物理学类,,2016,,,理科,本科一批
北京大学,人文科学试验班,,2016,,,文科,本科一批
北京大学,电子信息类,（电子、微电子、计算机、智能科学、通信工,2016,,,理科,本科一批
北京大学,工商管理类,,2016,,,文科,本科一批
北京大学,经济学类,,2016,,,理科,本科一批
北京大学,临床医学,（本博连读）,2016,,,理科,本科一批
北京大学,药学,（本硕连读）,2016,,,理科,本科一批
北京大学,中国语言文学类,,2016,,,文科,本科一批
北京大学,哲学类,,2016,,,文科,本科一批
北京大学,数学类,,2016,,,理科,本科一批
北京大学,经济学类,,2016,,,文科,本科一批
北京大学,英语,（生物医学）,2016,,,理科,本科一批
北京大学,历史学类,,2016,,,文科,本科一批
北京大学,预防医学,（本硕连读）,2016,,,理科,本科一批
北京大学,英语,,2016,,,文科,本科一批
北京大学,新闻传播学类,,2016,,,文科,本科一批
北京大学,国际政治,,2017,666,22,文科,本科一批
北京大学,社会学,,2017,667,15,文科,本科一批
北京大学,法学,,2017,666,22,文科,本科一批
北京大学,文科试验班类,,2017,681,1,文科,本科一批
北京大学,新闻传播学类,,2017,666,22,文科,本科一批
