院校,专业,专业详情,年份,最低分,位次,科目,985,211
清华大学,核工程与核技术,（定向中核）,2017,665,822,理科,1,1
清华大学,文科试验班类,（经济、金融与管理）,2017,662,1,文科,1,1
清华大学,建筑类,,2017,686,93,理科,1,1
清华大学,电子信息类,,2017,684,126,理科,1,1
清华大学,自动化,（定向兵器工业）,2017,674,391,理科,1,1
清华大学,理科试验班类,（化生）,2017,685,103,理科,1,1
清华大学,计算机类,,2017,693,1,理科,1,1
清华大学,工科试验班类,（能源）,2017,684,131,理科,1,1
清华大学,理科试验班类,（新雅书院）,2017,699,1,理科,1,1
清华大学,工科试验班类,（自动化与工业工程）,2017,685,109,理科,1,1
清华大学,理科试验班类,（数理）,2017,684,121,理科,1,1
清华大学,临床医学,（协和）,2017,688,83,理科,1,1
清华大学,机械工程,（定向兵器工业）,2017,668,642,理科,1,1
清华大学,工科试验班类,（机械、航空与动力）,2017,684,120,理科,1,1
清华大学,工科试验班类,（环境、化工与新材料）,2017,684,116,理科,1,1
清华大学,电子信息类,（定向兵器工业）,2017,673,426,理科,1,1
清华大学,理科试验班类,（经济、金融与管理）,2017,694,1,理科,1,1
清华大学,临床医学类,（协和，临床医学（协和））,2018,694,51,理科,1,1
清华大学,机械工程,（定向兵器工业，录取分数要求按我校招生章程执行）,2018,683,235,理科,1,1
清华大学,理科试验班类,（数理，数学与应用数学、物理学、航空航天类、工程物理、工程物理（能源实验班）、材料科学与工程、数理基础科学）,2018,690,101,理科,1,1
清华大学,土木类,（土木工程、水利科学与工程、建筑环境与能源应用工程、工程管理）,2018,688,124,理科,1,1
清华大学,理科试验班类,（人文与社会，汉语言文学、哲学、历史学、经济学、社会学、国际政治、国际政治（国际事务与全球治理）、英语、英语（世界文学与文化实验班）、日语、新闻学（国际新闻传播）、新闻学（融媒体传播））,2018,688,119,理科,1,1
清华大学,核工程与核技术,（定向中核，录取分数要求按我校招生章程执行）,2018,672,712,理科,1,1
清华大学,计算机类,（计算机科学与技术、软件工程、计算机科学与技术（计算机科学实验班））,2018,694,1,理科,1,1
清华大学,文科试验班类,（经济、金融与管理，经济与金融（国际班）、会计学、信息管理与信息系统）,2018,670,1,文科,1,1
清华大学,电子信息类,（定向兵器工业，电子信息科学与技术）,2018,687,138,理科,1,1
清华大学,工科试验班类,（能源，电气工程及其自动化、电气工程及其自动化（能源互联网国际班）、能源与动力工程、能源与动力工程（烽火班）、航空航天类）,2018,689,111,理科,1,1
清华大学,工科试验班类,（环境、化工与新材料，含环境工程、环境工程（全球环境国际班）、化学工程与工业生物工程、高分子材料与工程、材料科学与工程）,2018,689,103,理科,1,1
清华大学,建筑类,（建筑学、风景园林、城乡规划）,2018,688,125,理科,1,1
清华大学,工科试验班类,（机械、航空与动力，机械工程、机械工程（实验班）、测控技术与仪器、能源与动力工程、能源与动力工程（烽火班）、车辆工程、车辆工程（车身方向）、工程力学（钱学森力学班）、航空航天类）,2018,688,118,理科,1,1
清华大学,理科试验班类,（经济、金融与管理，经济与金融（国际班）、会计学、信息管理与信息系统）,2018,696,1,理科,1,1
清华大学,工科试验班类,（自动化与工业工程，自动化、工业工程、信息管理与信息系统）,2018,691,77,理科,1,1
清华大学,电子信息类,（电子信息科学与技术、微电子科学与工程、车辆工程、生物医学工程）,2018,689,109,理科,1,1
清华大学,自动化,（定向兵器工业，录取分数要求按我校招生章程执行）,2018,683,229,理科,1,1
清华大学,理科试验班类,（经济、金融与管理，经济与金融（国际班）、会计学、信息管理与信息系统）,2019,702,1,理科,1,1
清华大学,理科试验班类,（数理，数学与应用数学、物理学、数理基础科学、工程物理、工程物理（能源实验班）、材料科学与工程、航空航天类）,2019,684,133,理科,1,1
清华大学,测控技术与仪器,（定向兵器工业）,2019,679,230,理科,1,1
清华大学,计算机类,（计算机科学与技术、计算机科学与技术（计算机科学实验班）、软件工程）,2019,688,71,理科,1,1
清华大学,理科试验班类,（人文与社会，汉语言文学、历史学、哲学、英语、英语（世界文学与文化实验班）、日语、社会学、经济学、国际政治、国际政治（国际事务与全球治理）、心理学、新闻学（国际新闻实验班）、新闻学（融媒体新闻实验班））,2019,684,133,理科,1,1
清华大学,电子信息类,（电子信息科学与技术、微电子科学与工程、生物医学工程）,2019,690,50,理科,1,1
清华大学,工科试验班类,（机械、航空与动力，机械工程、机械工程（实验班）、测控技术与仪器、能源与动力工程、能源与动力工程（烽火班）、车辆工程、车辆工程（车身方向）、工程力学（钱学森力学班）、航空航天类）,2019,684,133,理科,1,1
清华大学,临床医学类,（协和，临床医学）,2019,686,101,理科,1,1
清华大学,临床医学类,（医学实验班，临床医学）,2019,685,114,理科,1,1
清华大学,工科试验班类,（自动化与工业工程，自动化、工业工程、信息管理与信息系统）,2019,687,84,理科,1,1
清华大学,理科试验班类,（化生，化学、化学生物学（化生基础科学班）、生物科学、药学、化学工程与工业生物工程、高分子材料与工程、生物医学工程）,2019,704,1,理科,1,1
清华大学,工科试验班类,（环境、化工与新材料，环境工程、环境工程（全球环境国际班）、高分子材料与工程、化学工程与工业生物工程、材料科学与工程）,2019,684,133,理科,1,1
清华大学,建筑类,（建筑学、城乡规划、风景园林）,2019,684,133,理科,1,1
清华大学,文科试验班类,（经济、金融与管理，经济与金融（国际班）、会计学、信息管理与信息系统）,2019,662,1,文科,1,1
清华大学,核工程与核技术,（定向中核）,2019,666,694,理科,1,1
清华大学,法学,（含国际班）,2019,689,57,理科,1,1
清华大学,土木类,（土木工程、工程管理、交通工程、水利科学与工程）,2019,684,133,理科,1,1
北京大学,国际政治,,2017,651,23,文科,1,1
北京大学,法学,,2017,656,1,文科,1,1
北京大学,社会学,,2017,651,22,文科,1,1
北京大学,生物科学,,2017,696,1,理科,1,1
北京大学,法学,,2017,689,66,理科,1,1
北京大学,数学类,,2017,692,1,理科,1,1
北京大学,经济学类,,2017,654,1,文科,1,1
北京大学,中国语言文学类,,2017,652,1,文科,1,1
北京大学,公共管理类,,2017,655,1,文科,1,1
北京大学,理科试验班类,,2017,692,1,理科,1,1
北京大学,心理学,,2017,704,1,理科,1,1
北京大学,新闻传播学类,,2017,648,25,文科,1,1
北京大学,哲学类,,2017,651,21,文科,1,1
北京大学,文科试验班类,,2017,665,1,文科,1,1
北京大学,物理学类,,2017,692,1,理科,1,1
北京大学,工商管理类,,2017,700,1,理科,1,1
北京大学,历史学类,,2017,647,29,文科,1,1
北京大学,工商管理类,,2017,666,1,文科,1,1
北京大学,电子信息类,,2017,689,68,理科,1,1
北京大学,天文学,,2017,701,1,理科,1,1
北京大学,法学,,2018,669,1,文科,1,1
北京大学,法学,,2018,693,57,理科,1,1
北京大学,考古学,,2018,668,1,文科,1,1
北京大学,生物科学类,（生物科学、生物技术）,2018,697,1,理科,1,1
北京大学,电子信息类,（电子信息科学与技术、微电子科学与工程）,2018,693,60,理科,1,1
北京大学,数学类,（数学与应用数学（数学）、数学与应用数学（概率统计）、数学与应用数学（科学与工程计算）、数学与应用数学（信息科学）、数学与应用数学（金融））,2018,696,1,理科,1,1
北京大学,社会学类,（社会学、社会工作）,2018,665,1,文科,1,1
北京大学,理科试验班类,（数学类、物理学类、天文学、化学类、环境科学与工程类、环境科学、城乡规划、地质学类、地球物理学类、心理学类、生物科学类、历史学类、考古学、社会学类、哲学类、国际政治、经济学类、工商管理类、法学类、公共管理类、新闻传播学类、外国语言文学类等）,2018,693,54,理科,1,1
北京大学,国际政治,（国政、外交学、国际政经）,2018,663,22,文科,1,1
北京大学,信息管理与信息系统,,2018,663,25,文科,1,1
北京大学,历史学类,（历史学（中国史）、世界史、外国语言与外国历史）,2018,663,21,文科,1,1
北京大学,新闻传播学类,（新闻学、广播电视学、广告学、编辑出版学）,2018,663,23,文科,1,1
北京大学,工商管理类,（金融学、经济学（金融）、会计学、市场营销）,2018,699,1,理科,1,1
北京大学,哲学类,（哲学、宗教学、逻辑学（科技哲学））,2018,663,24,文科,1,1
北京大学,地球物理学类,（地球物理学、地理信息科学（遥感与地理信息系统）、空间科学与技术）,2018,694,1,理科,1,1
北京大学,物理学类,（物理学、大气科学（大气与海洋））,2018,692,71,理科,1,1
北京大学,文科试验班类,（中国语言文学类、考古学、历史学类、哲学类、社会学类、国际政治、法学、信息管理与信息系统、新闻传播学类、经济学类、工商管理类、公共管理类、艺术学理论类、数据科学与大数据技术、政治学、经济学与哲学、古生物学、整合科学、外国语言与外国历史等专业）,2018,675,1,文科,1,1
北京大学,英语,,2018,663,26,文科,1,1
北京大学,经济学类,（经济学、金融学、国际经济与贸易、保险学（风险管理与保险）、财政学、资源与环境经济学）,2018,673,1,文科,1,1
北京大学,中国语言文学类,（汉语言文学、汉语言、古典文献学、应用语言学）,2018,667,1,文科,1,1
北京大学,考古学,,2019,650,30,文科,1,1
北京大学,法学,,2019,661,1,文科,1,1
