院校,专业,专业详情,年份,最低分,位次,科目,985,211
清华大学,文科试验班类,（通用基础类）,2020,706,5,不限,1,1
清华大学,测控技术与仪器,（定向兵器工业）,2020,682,361,物,1,1
清华大学,临床医学类,,2020,695,59,物、化,1,1
清华大学,核工程与核技术,（定向中核）,2020,681,405,物,1,1
清华大学,理科试验班类,（物理基础类）,2020,689,174,物,1,1
北京大学,法学,,2020,691,139,不限,1,1
北京大学,社会学类,,2020,687,206,不限,1,1
北京大学,历史学类,,2020,692,119,不限,1,1
北京大学,物理学类,,2020,693,95,物,1,1
北京大学,数学类,,2020,693,80,物,1,1
北京大学,新闻传播学类,,2020,687,225,不限,1,1
北京大学,环境科学,（环境、生态、地理与资源环境）,2020,690,145,物/化,1,1
北京大学,信息管理与信息系统,,2020,688,189,不限,1,1
北京大学,计算机类,,2020,693,90,物,1,1
北京大学,理科试验班类,,2020,695,67,物,1,1
北京大学,地球物理学类,,2020,692,109,物,1,1
北京大学,电子信息类,,2020,693,97,物,1,1
北京大学,工科试验班类,,2020,691,129,物,1,1
北京大学,天文学,,2020,691,125,物,1,1
北京大学,城乡规划,,2020,688,188,不限,1,1
北京大学,工商管理类,,2020,697,45,不限,1,1
北京大学,公共管理类,,2020,687,222,不限,1,1
北京大学,经济学类,,2020,692,105,不限,1,1
北京大学,化学类,,2020,690,158,物/化,1,1
北京大学,哲学类,,2020,688,198,不限,1,1
中国人民大学,法学,,2020,681,456,不限,1,1
中国人民大学,金融学类,,2020,682,380,物/史,1,1
中国人民大学,人力资源管理,（以学校公布分流专业为准）,2020,675,792,不限,1,1
中国人民大学,经济学类,,2020,680,470,不限,1,1
中国人民大学,理科试验班,,2020,677,685,物,1,1
中国人民大学,国际政治,（以学校公布分流专业为准）,2020,674,911,不限,1,1
中国人民大学,新闻传播学类,,2020,675,775,不限,1,1
中国人民大学,社会科学试验班,（管理学科类）,2020,674,878,不限,1,1
中国人民大学,工商管理类,,2020,675,771,物/史,1,1
北京交通大学,软件工程,,2020,646,5517,物,0,1
北京交通大学,经济管理试验班,,2020,640,7103,物,0,1
北京交通大学,机械电子工程,（中外合作办学）,2020,602,25281,物,0,1
北京交通大学,电气工程及其自动化,（新能源国际班）,2020,640,7188,物,0,1
北京交通大学,电气类,,2020,640,7143,物,0,1
北京交通大学,电子信息类,（通信与控制）,2020,644,5906,物,0,1
