院校,专业,最低分,位次,科目,批次
清华大学,临床医学类（协和）（含临床医学专业）,704,55,理科,本科批
清华大学,电子信息类（含电子信息科学与技术、微电子科学与工程、生物医学工程专业）,704,55,理科,本科批
清华大学,自动化类（含自动化、信息管理与信息系统专业）,704,55,理科,本科批
清华大学,理科试验班类（新雅书院）（含物理学（等各专业）专业）,714,1,理科,本科批
清华大学,理科试验班类（经济、金融与管理）（含金融学类、信息管理与信息系统专业）,705,44,理科,本科批
清华大学,建筑类（含建筑学、城乡规划、风景园林专业）,708,32,理科,本科批
清华大学,计算机类（含计算机科学与技术、软件工程、计算机科学与技术（计算机科学实验班）、计算机科学与技术（智班）专业）,710,1,理科,本科批
清华大学,工科试验班类（能源与电气）（含建筑环境与能源应用工程、电气工程及其自动化、电气工程及其自动化（能源互联网国际班）、能源与动力工程专业）,704,55,理科,本科批
清华大学,工科试验班类（环境、化工与新材料）（含环境工程、环境工程（全球环境国际班）、化学工程与工业生物工程、高分子材料与工程、材料科学与工程专业）,709,1,理科,本科批
清华大学,理科试验班类（数理）（含数学与应用数学、物理学、数理基础科学、工程物理、工程物理（能源实验班）专业）,705,44,理科,本科批
清华大学,文科试验班类（经济、金融与管理）（含经济与金融（国际班）专业）,679,1,文科,本科批
清华大学,理科试验班类（化生）（含化学、化学生物学、生物科学、药学、化学工程与工业生物工程、高分子材料与工程专业）,715,1,理科,本科批
清华大学,临床医学类（医学实验班）（含临床医学专业）,709,1,理科,本科批
清华大学,工科试验班类（机械、航空与动力）（含机械工程、机械工程（实验班）、测控技术与仪器、能源与动力工程、车辆工程、车辆工程（电子信息方向）、车辆工程（车身方向）、工业工程、航空航天类、工程力学（钱学森力学班）专业）,704,55,理科,本科批
清华大学,土木、水利与海洋工程,700,108,理科,本科提前批
清华大学,电子信息类,699,136,理科,本科提前批
清华大学,工科试验班类（环境、化工与新材料）,691,382,理科,本科提前批
清华大学,建筑类,695,226,理科,本科提前批
清华大学,工科试验班类（机械、航空与动力）,692,339,理科,本科提前批
